postcode,lat,lon
"Dublin 1, Ireland",53.3524881,-6.256645689721826
"Rush, Dublin, Ireland",53.522044,-6.090896
"Dublin 3, Ireland",53.36310965,-6.205182085805581
"Dublin 11, Ireland",53.386613600000004,-6.292626932293775
"Dublin 16, Ireland",53.255728700000006,-6.296347416815667
"Dublin 13, Ireland",53.3856513,-6.075383318320214
"Balbriggan, Dublin, Ireland",53.609832,-6.1861964
"Dublin 2, Ireland",53.338971400000005,-6.252678799450818
"Saggart, Dublin, Ireland",53.258774849999995,-6.4442861605439035
"Dublin 4, Ireland",53.32750729999999,-6.227487166789869
"Donabate, Dublin, Ireland",53.481700599999996,-6.155047957101347
"Malahide, Dublin, Ireland",53.42838385,-6.150639216176364
"Dublin 6, Ireland",53.317909650000004,-6.259572278694193
"Dun Laoghaire, Dublin, Ireland",53.25861405,-6.154342465078775
"Swords, Dublin, Ireland",53.45948,-6.219175
"Dublin 18, Ireland",53.24086395,-6.183324086422253
"Portmarnock, Dublin, Ireland",53.4219593,-6.1358319
"Dublin 24, Ireland",53.2479888,-6.424349898216628
"Dublin 15, Ireland",53.39493455,-6.389208544937581
"Blackrock, Dublin, Ireland",53.291804049999996,-6.219538564562673
"Dublin 9, Ireland",53.3860497,-6.245577085317763
"Dublin 12, Ireland",53.32052905,-6.3288241420909905
"Lucan, Dublin, Ireland",53.328473200000005,-6.413117701067604
"Dublin 8, Ireland",53.350262900000004,-6.320212883866121
"Skerries, Dublin, Ireland",53.5806379,-6.1066867
"Dublin 5, Ireland",53.3834538,-6.181925032034977
"Dublin 22, Ireland",53.31701515,-6.43852995903866
"Dublin 14, Ireland",53.2986473,-6.25820118261262
"Killiney, Dublin, Ireland",53.2553845,-6.11304
"Lusk, Dublin, Ireland",53.5255827,-6.1658125
"Dublin 17, Ireland",53.400360750000004,-6.209491170965708
"Dalkey, Dublin, Ireland",53.2757207,-6.1033953
"Booterstown, Dublin, Ireland",53.30497735,-6.1962895507283875
"Monkstown, Dublin, Ireland",53.3245109,-6.215076921272023
"Ballybrack, Dublin, Ireland",53.2282791,-6.247735165849343
"Newcastle, Dublin, Ireland",53.2999844,-6.5013576
"Dublin 7, Ireland",53.3605505,-6.2844704545646435
"Stillorgan, Dublin, Ireland",53.3125363,-6.2215937
"Dublin 20, Ireland",53.3523752,-6.372328201325498
"Citywest, Dublin, Ireland",53.294628,-6.427761
"Sandycove, Dublin, Ireland",53.2859485,-6.1155829
"Glenageary, Dublin, Ireland",53.2812377,-6.1231083
